"rep","ant","meanmidstretch","meanmidlegangle","meanhindstretch","midlegangle","Label","chainsize"
"Quel220_3_2","twotwo",1.33434650455927,24.679,2.14437689969605,14.79,"Quel220_3_2Ants.0.39g.Second3118.jpg","2"
"Quel220_3_2","twoone",1.234375,20.0935,1.71164772727273,40.111,"Quel220_3_2Ants.0.41g.Second3119.jpg","2"
"Quel220_3_2","twotwo",1.25292397660819,25.972,2.01023391812865,14.814,"Quel220_3_2Ants.0.41g.Second3119.jpg","2"
"Quel220_3_2","twoone",1.59136212624585,18.0105,2.04152823920266,35.694,"Quel220_3_2Ants.0.41g.Second3120.jpg","2"
"Quel220_3_2","twotwo",1.61075949367089,25.141,2.30696202531646,13.934,"Quel220_3_2Ants.0.41g.Second3120.jpg","2"
"Quel220_3_2","twoone",1.54262295081967,17.2075,1.86885245901639,38.729,"Quel220_3_2Ants.0.42g.Second3121.jpg","2"
"Quel220_3_2","twotwo",1.5260736196319,9.87549999999999,2.16257668711656,14.89,"Quel220_3_2Ants.0.42g.Second3121.jpg","2"
"Quel223_2","twoone",0.669333333333333,68.901,1.304,20.708,"Quel223_2Ants.0.74g.Second1173.jpg","2"
"Quel223_2","twotwo",2.07119741100324,4.9825,2.50647249190939,24.99,"Quel223_2Ants.0.74g.Second1173.jpg","2"
"Quel223_2","twoone",0.946220930232558,62.708,1.97093023255814,4.02799999999999,"Quel223_2Ants.0.74g.Second1175.jpg","2"
"Quel223_2","twotwo",1.40317919075145,8.0405,2.08236994219653,25.235,"Quel223_2Ants.0.74g.Second1175.jpg","2"
"Quel223_2","twoone",0.884272997032641,75.3535,1.97032640949555,17.456,"Quel223_2Ants.0.75g.Second1174.jpg","2"
"Quel223_2","twotwo",1.57164634146341,8.28849999999998,2.33536585365854,25.59,"Quel223_2Ants.0.75g.Second1174.jpg","2"
"Quel223_2","twoone",0.785302593659942,99.8785,1.79250720461095,24.104,"Quel223_2Ants.1.13g.Second1171.jpg","2"
"Quel223_2","twotwo",1.61755485893417,6.65900000000001,2.38401253918495,24.542,"Quel223_2Ants.1.13g.Second1171.jpg","2"
"Quel223_2","twoone",0.801136363636364,63.808,2.16477272727273,16.379,"Quel223_2Ants.1.1g.Second1172.jpg","2"
